event_id	profile_id
6	1
8	2
2	3
4	3
5	3
8	3
6	4
9	4
1	5
3	5
5	5
1	6
4	6
6	6
8	6
1	8
6	8
6	9
8	10
9	10
2	11
3	11
5	11
9	11
3	12
4	12
6	12
2	15
4	15
6	15
8	15
1	16
3	16
6	16
4	17
6	17
9	17
2	18
3	18
4	19
6	19
7	20
8	20
2	21
7	21
8	21
1	23
5	23
4	24
1	25
7	25
9	25
8	27
3	28
6	28
8	29
5	30
7	30
3	31
8	31
3	32
6	32
7	32
2	33
7	33
4	34
6	34
1	35
4	35
7	35
1	36
9	36
5	37
1	38
5	38
7	38
2	39
5	39
6	39
7	39
8	39
8	40
9	40
2	42
5	42
6	42
7	42
1	44
4	44
7	44
1	45
5	45
9	45
2	46
6	46
7	46
9	46
7	47
7	48
3	49
9	49
2	50
6	50
9	51
8	53
2	54
6	54
6	56
4	57
5	57
2	58
7	58
2	60
2	61
3	61
6	61
7	62
8	62
9	62
8	63
9	63
9	65
3	66
9	66
3	67
5	67
5	68
7	68
8	68
1	69
4	69
5	69
1	70
6	70
7	70
8	70
7	71
8	71
8	72
1	73
2	73
3	73
7	73
7	74
9	74
4	75
3	76
1	77
2	77
4	77
8	77
1	78
3	78
7	78
8	80
2	81
3	82
6	82
8	82
3	84
4	84
4	87
6	87
8	87
5	88
3	89
6	89
4	90
6	90
9	90
8	92
4	94
7	94
7	96
8	96
7	97
4	99
5	99
7	99
